Transaction_ID,Date,Customer_ID,Product_ID,Branch_ID,Sales_Channel,Quantity,Discount_Rate
TXN-000060,2024-01-22,CUST-2555,PROD-109,BR-03,Online,1,0.0
TXN-000061,2024-01-14,CUST-1059,PROD-108,BR-02,Online ,3,0.0
TXN-000062,2023-02-09,CUST-1041,PROD-110,BR-01,online,1,0.0
TXN-000063,2024-06-18,CUST-1820,PROD-105,BR-01,Online,1,0.0
TXN-000064,2023-02-10,CUST-0239,PROD-110,BR-01,Online,2,0.0
TXN-000065,2023-11-01,CUST-1473,PROD-109,BR-10,STORE,1,0.1
TXN-000066,2024-08-18,CUST-0259,PROD-104,BR-12,Store,1,0.1
TXN-000067,2024-09-07,CUST-3103,PROD-110,BR-02,Store,2,0.15
TXN-000068,2024-01-06,CUST-0611,PROD-105,BR-06,online,1,0.0
TXN-000069,2023-04-21,CUST-2819,PROD-110,BR-04,Online,1,0.1
TXN-000070,2023-04-29,CUST-3105,PROD-108,BR-09,Online,4,0.15
TXN-000071,2023-09-29,CUST-3176,PROD-111,BR-07,Online ,1,0.0
TXN-000072,2023-03-30,CUST-2716,PROD-106,BR-02,Store,4,0.0
TXN-000073,2024-07-03,CUST-1377,PROD-108,BR-02,Online ,2,0.05
TXN-000074,2024-11-08,CUST-2735,PROD-104,BR-01,Store,2,0.1
TXN-000075,2023-02-15,CUST-1147,PROD-110,BR-08,STORE,1,0.05
TXN-000076,2024-03-16,CUST-1586,PROD-104,BR-10,Store,2,0.05
TXN-000077,2023-06-23,CUST-1950,PROD-107,BR-08,Online ,1,0.0
TXN-000078,2024-02-27,CUST-1314,PROD-106,BR-04,online,1,0.05
TXN-000079,2024-07-18,CUST-1255,PROD-111,BR-07,online,1,0.1
TXN-000080,2023-11-15,CUST-2846,PROD-106,BR-12,Online,1,0.0
TXN-000081,2024-07-01,CUST-1764,PROD-106,BR-02,Online ,2,0.0
TXN-000082,2024-06-14,CUST-3261,PROD-110,BR-05,online,2,0.1
TXN-000083,2023-08-31,CUST-0448,PROD-104,BR-09,STORE,4,0.05
TXN-000084,2024-09-17,CUST-0461,PROD-104,BR-07,online,2,0.0
TXN-000085,2024-10-11,CUST-2181,PROD-110,BR-06,Store,1,0.1
TXN-000086,2023-05-06,CUST-3249,PROD-107,BR-06,Online,1,0.05
TXN-000087,2023-03-18,CUST-1989,PROD-109,BR-12,Store,3,0.05
TXN-000088,2023-04-08,CUST-2436,PROD-110,BR-12,online,1,0.0
TXN-000089,2024-01-17,CUST-3471,PROD-101,BR-10,Online ,1,0.0
TXN-000090,2023-08-01,CUST-3016,PROD-103,BR-12,online,2,0.0
TXN-000091,2023-02-06,CUST-1817,PROD-106,BR-03,Online ,1,0.15
TXN-000092,2024-06-19,CUST-0586,PROD-109,BR-06,Online ,1,
TXN-000093,2024-09-02,CUST-3163,PROD-111,BR-10,Store,1,0.1
TXN-000094,2023-05-21,CUST-1658,PROD-105,BR-01,Store,1,
TXN-000095,2023-04-03,CUST-3476,PROD-108,BR-05,Online,1,0.0
TXN-000096,2024-04-29,CUST-0978,PROD-106,BR-07,STORE,1,0.15
TXN-000097,2024-11-30,CUST-2048,PROD-106,BR-11,Store,3,
TXN-000098,2023-03-18,CUST-0275,PROD-101,BR-04,Store,1,0.15
TXN-000099,2024-11-04,CUST-1117,PROD-111,BR-10,Store,1,0.0
TXN-000100,2024-09-04,CUST-2541,PROD-104,BR-07,Store,2,0.0
TXN-000101,2023-05-18,CUST-3358,PROD-107,BR-07,online,2,0.0
TXN-000102,2023-07-01,CUST-2723,PROD-109,BR-09,Online,1,0.0
TXN-000103,2023-02-15,CUST-1716,PROD-110,BR-04,Online ,2,0.05
TXN-000104,2024-11-16,CUST-0174,PROD-109,BR-10,Store,1,0.0
TXN-000105,2024-03-13,CUST-2663,PROD-110,BR-08,online,1,0.1
TXN-000106,2024-08-11,CUST-1833,PROD-109,BR-10,Online,1,0.0
TXN-000107,2023-11-23,CUST-2132,PROD-108,BR-01,STORE,1,0.15
TXN-000108,2024-03-31,CUST-1526,PROD-108,BR-02,STORE,1,0.0
TXN-000109,2024-06-12,CUST-0886,PROD-107,BR-09,Online ,1,0.1
TXN-000110,2023-11-20,CUST-1945,PROD-103,BR-09,Store,2,0.0
TXN-000111,2023-01-05,CUST-0798,PROD-105,BR-08,Store,1,0.15
TXN-000112,2023-10-16,CUST-0679,PROD-106,BR-10,online,1,0.15
TXN-000113,2024-09-20,CUST-0424,PROD-108,BR-09,STORE,1,0.05
TXN-000114,2024-11-18,CUST-2043,PROD-110,BR-04,STORE,1,0.0
TXN-000115,2023-08-11,CUST-2252,PROD-109,BR-06,online,1,0.0
TXN-000116,2024-01-12,CUST-0934,PROD-105,BR-01,STORE,1,
TXN-000117,2024-06-10,CUST-0887,PROD-101,BR-10,online,1,0.0
TXN-000118,2024-09-11,CUST-1219,PROD-106,BR-09,online,1,0.1
TXN-000119,2024-08-31,CUST-1091,PROD-104,BR-02,Store,1,0.0
TXN-000120,2023-03-23,CUST-1235,PROD-104,BR-06,STORE,1,0.05
TXN-000121,2024-10-16,CUST-2283,PROD-109,BR-05,Store,1,0.05
TXN-000122,2023-04-06,CUST-1153,PROD-105,BR-07,Online ,1,0.1
TXN-000123,2024-05-27,CUST-1868,PROD-102,BR-04,Online,1,0.0
TXN-000124,2023-07-31,CUST-0720,PROD-111,BR-08,Store,1,0.05
TXN-000125,2024-11-03,CUST-1553,PROD-110,BR-01,STORE,3,0.1
TXN-000126,2023-07-13,CUST-0648,PROD-102,BR-03,Online,1,0.0
TXN-000127,2024-09-08,CUST-3050,PROD-103,BR-11,Store,2,0.05
TXN-000128,2023-09-03,CUST-2501,PROD-106,BR-10,Online,1,0.0
TXN-000129,2024-03-17,CUST-2127,PROD-101,BR-10,Store,1,0.15
TXN-000130,2023-12-11,CUST-2493,PROD-106,BR-09,Online ,2,0.0
TXN-000131,2024-06-18,CUST-0877,PROD-103,BR-03,online,1,0.0
TXN-000132,2023-04-09,CUST-3228,PROD-105,BR-04,Store,2,0.05
TXN-000133,2023-07-29,CUST-3388,PROD-105,BR-10,Online,4,0.0
TXN-000134,2024-06-09,CUST-2944,PROD-102,BR-11,STORE,1,0.05
TXN-000135,2023-07-24,CUST-1823,PROD-107,BR-10,online,2,0.0
TXN-000136,2023-12-17,CUST-3271,PROD-108,BR-08,STORE,2,0.0
TXN-000137,2024-05-22,CUST-3180,PROD-103,BR-03,Store,1,0.0
TXN-000138,2024-11-17,CUST-1465,PROD-108,BR-12,Online,1,0.0
TXN-000139,2024-11-05,CUST-1139,PROD-102,BR-06,online,1,0.1
TXN-000140,2024-02-27,CUST-0035,PROD-102,BR-06,Online,1,0.0
TXN-000141,2023-09-25,CUST-1171,PROD-105,BR-12,Online ,1,0.1
TXN-000142,2023-12-14,CUST-1718,PROD-104,BR-10,Store,1,0.0
TXN-000143,2024-12-01,CUST-3426,PROD-104,BR-11,Online,1,
TXN-000144,2024-03-19,CUST-2374,PROD-111,BR-03,Online ,1,0.05
TXN-000145,2023-07-19,CUST-0666,PROD-103,BR-08,STORE,1,0.0
TXN-000146,2023-07-12,CUST-1662,PROD-106,BR-07,STORE,2,0.1
TXN-000147,2024-01-01,CUST-1505,PROD-109,BR-04,STORE,1,0.0
TXN-000148,2023-09-15,CUST-0639,PROD-105,BR-04,online,1,0.0
TXN-000149,2024-11-03,CUST-1025,PROD-103,BR-07,Online ,1,0.0
TXN-000150,2023-07-30,CUST-2357,PROD-108,BR-06,Store,1,0.0
TXN-000151,2023-11-18,CUST-1435,PROD-109,BR-04,STORE,1,0.05
TXN-000152,2024-11-09,CUST-1295,PROD-101,BR-08,online,1,0.1
TXN-000153,2024-07-11,CUST-2359,PROD-104,BR-05,Online,2,0.05
TXN-000154,2024-10-06,CUST-0640,PROD-109,BR-02,Store,1,0.0
TXN-000155,2024-10-03,CUST-2270,PROD-101,BR-11,STORE,3,0.15
TXN-000156,2023-09-15,CUST-2487,PROD-111,BR-04,Store,2,
TXN-000157,2024-05-17,CUST-1055,PROD-109,BR-05,Online ,1,0.1
TXN-000158,2024-08-18,CUST-2936,PROD-104,BR-06,Store,1,0.05
TXN-000159,2023-04-02,CUST-2315,PROD-101,BR-09,STORE,2,0.1
TXN-000160,2023-08-07,CUST-2755,PROD-103,BR-03,Online ,2,0.15
TXN-000161,2023-07-11,CUST-3039,PROD-103,BR-09,Store,1,
TXN-000162,2023-07-12,CUST-3437,PROD-105,BR-12,STORE,1,0.05
TXN-000163,2023-05-01,CUST-2484,PROD-105,BR-08,STORE,2,0.1
TXN-000164,2023-11-27,CUST-1259,PROD-107,BR-04,STORE,1,0.0
TXN-000165,2024-03-15,CUST-3004,PROD-111,BR-02,STORE,1,0.0
TXN-000166,2024-02-23,CUST-1279,PROD-106,BR-06,Online ,1,0.05
TXN-000167,2023-04-18,CUST-1231,PROD-107,BR-03,Online,1,0.1
TXN-000168,2023-11-13,CUST-1059,PROD-108,BR-04,Online ,1,
TXN-000169,2024-09-06,CUST-2086,PROD-111,BR-05,Store,1,0.05
TXN-000170,2023-02-24,CUST-2392,PROD-106,BR-02,Online ,1,0.0
TXN-000171,2024-03-20,CUST-3046,PROD-103,BR-07,STORE,3,0.15
TXN-000172,2023-06-17,CUST-2214,PROD-111,BR-04,Store,2,0.1
TXN-000173,2023-04-18,CUST-2162,PROD-101,BR-12,Online ,2,0.0
TXN-000174,2023-09-03,CUST-3465,PROD-111,BR-03,online,1,0.05
TXN-000175,2024-06-18,CUST-1206,PROD-102,BR-05,Online,1,0.05
TXN-000176,2023-12-08,CUST-1078,PROD-102,BR-09,Store,1,0.0
TXN-000177,2023-10-01,CUST-0352,PROD-106,BR-06,Store,2,0.15
TXN-000178,2023-02-18,CUST-1497,PROD-107,BR-04,Online,2,0.0
TXN-000179,2023-07-27,CUST-2270,PROD-110,BR-11,Online ,3,0.05
TXN-000180,2024-09-15,CUST-1167,PROD-107,BR-08,Online,1,0.0
TXN-000181,2024-04-28,CUST-1263,PROD-111,BR-10,Online,1,0.1
TXN-000182,2023-01-05,CUST-1969,PROD-108,BR-07,online,3,0.0
TXN-000183,2023-03-31,CUST-1374,PROD-104,BR-07,STORE,1,0.1
TXN-000184,2023-02-18,CUST-0479,PROD-104,BR-04,Store,2,0.05
TXN-000185,2024-07-17,CUST-0485,PROD-110,BR-12,Store,2,0.15
TXN-000186,2023-07-12,CUST-0985,PROD-107,BR-02,online,2,0.15
TXN-000187,2023-11-02,CUST-0422,PROD-109,BR-08,STORE,1,0.0
TXN-000188,2024-10-27,CUST-2414,PROD-109,BR-03,Online,1,0.0
TXN-000189,2023-06-29,CUST-1280,PROD-106,BR-03,Online,2,0.05
TXN-000190,2023-03-21,CUST-3365,PROD-108,BR-03,Online ,1,0.05
TXN-000191,2023-11-14,CUST-1400,PROD-101,BR-02,STORE,2,0.0
TXN-000192,2024-04-11,CUST-2499,PROD-111,BR-11,Online ,1,0.0
TXN-000193,2023-05-06,CUST-2560,PROD-111,BR-02,Store,1,0.05
TXN-000194,2024-02-27,CUST-2303,PROD-102,BR-07,online,1,0.05
TXN-000195,2023-01-16,CUST-0775,PROD-106,BR-03,online,1,0.0
TXN-000196,2024-06-21,CUST-0514,PROD-103,BR-10,STORE,1,
TXN-000197,2024-06-06,CUST-3078,PROD-107,BR-10,Store,2,
TXN-000198,2023-04-07,CUST-3001,PROD-102,BR-07,Online ,1,
TXN-000199,2024-05-24,CUST-2642,PROD-110,BR-01,Online ,1,0.0
TXN-000200,2023-08-18,CUST-0365,PROD-105,BR-08,online,1,0.05
TXN-000201,2024-06-03,CUST-2101,PROD-108,BR-09,Online,1,0.05
TXN-000202,2024-02-22,CUST-0831,PROD-103,BR-04,online,1,0.1
TXN-000203,2023-07-16,CUST-0807,PROD-102,BR-01,STORE,1,0.0
TXN-000204,2023-03-08,CUST-3327,PROD-107,BR-09,Online ,2,0.05
TXN-000205,2023-12-29,CUST-3419,PROD-102,BR-09,Online,2,0.0
TXN-000206,2024-03-09,CUST-2937,PROD-111,BR-06,STORE,2,0.0
TXN-000207,2023-09-27,CUST-1914,PROD-110,BR-01,Online,1,0.0
TXN-000208,2023-09-16,CUST-3143,PROD-105,BR-11,STORE,1,0.05
TXN-000209,2024-09-28,CUST-0836,PROD-110,BR-02,Store,1,0.05
TXN-000210,2024-10-01,CUST-3263,PROD-106,BR-06,online,1,0.1
TXN-000211,2024-08-18,CUST-1792,PROD-104,BR-10,STORE,2,
TXN-000212,2023-03-14,CUST-2302,PROD-104,BR-03,Online,1,0.0
TXN-000213,2023-12-30,CUST-0522,PROD-109,BR-05,online,1,0.0
TXN-000214,2024-05-01,CUST-2869,PROD-111,BR-07,STORE,1,0.0
TXN-000215,2024-10-27,CUST-0614,PROD-103,BR-01,online,1,0.0
TXN-000216,2023-02-25,CUST-2329,PROD-107,BR-01,Store,1,0.0
TXN-000217,2023-09-12,CUST-0944,PROD-110,BR-02,Store,2,0.05
TXN-000218,2023-12-22,CUST-3359,PROD-108,BR-03,Online ,3,0.0
TXN-000219,2023-11-25,CUST-2777,PROD-103,BR-09,Online,4,0.1
TXN-000220,2023-07-30,CUST-1672,PROD-106,BR-01,STORE,1,0.0
TXN-000221,2023-11-14,CUST-2532,PROD-105,BR-05,Online,1,0.05
TXN-000222,2023-10-13,CUST-0239,PROD-109,BR-06,Online ,2,0.05
TXN-000223,2024-08-05,CUST-3093,PROD-101,BR-10,Online,1,0.0
TXN-000224,2023-04-11,CUST-1427,PROD-110,BR-09,Online ,1,0.0
TXN-000225,2023-07-31,CUST-2645,PROD-106,BR-05,STORE,3,0.0
TXN-000226,2024-08-07,CUST-0936,PROD-103,BR-10,Online,1,0.05
TXN-000227,2023-01-07,CUST-1293,PROD-108,BR-06,Online ,2,0.15
TXN-000228,2024-04-26,CUST-0022,PROD-111,BR-03,online,2,
TXN-000229,2024-04-25,CUST-1496,PROD-105,BR-10,online,1,0.0
TXN-000230,2024-08-31,CUST-2814,PROD-104,BR-02,online,1,0.05
TXN-000231,2023-06-06,CUST-2930,PROD-107,BR-07,Online ,1,
TXN-000232,2024-03-27,CUST-2774,PROD-104,BR-10,Online ,1,0.0
TXN-000233,2024-10-29,CUST-2450,PROD-108,BR-08,Online ,1,0.0
TXN-000234,2024-07-29,CUST-2633,PROD-105,BR-01,Online,1,0.0
TXN-000235,2023-01-05,CUST-0249,PROD-104,BR-09,Online,4,0.0
TXN-000236,2024-08-09,CUST-1523,PROD-111,BR-05,Online,1,0.05
TXN-000237,2023-12-19,CUST-0428,PROD-101,BR-04,Online ,1,0.0
TXN-000238,2023-07-16,CUST-1090,PROD-101,BR-05,Online ,1,0.0
TXN-000239,2024-07-05,CUST-0513,PROD-108,BR-04,STORE,2,0.15
TXN-000240,2023-05-01,CUST-1535,PROD-103,BR-07,online,1,0.05
TXN-000241,2023-03-11,CUST-2493,PROD-108,BR-09,Online ,1,0.0
TXN-000242,2023-03-21,CUST-2417,PROD-111,BR-01,online,1,0.0
TXN-000243,2023-06-20,CUST-0909,PROD-104,BR-04,Online,3,0.05
TXN-000244,2024-01-05,CUST-2434,PROD-110,BR-12,online,1,0.1
TXN-000245,2024-10-27,CUST-3111,PROD-109,BR-04,Store,1,0.15
TXN-000246,2024-04-15,CUST-2123,PROD-110,BR-05,Online ,1,0.0
TXN-000247,2024-05-18,CUST-2939,PROD-105,BR-12,Online,1,0.0
TXN-000248,2023-05-16,CUST-0576,PROD-110,BR-04,STORE,1,0.15
TXN-000249,2023-03-02,CUST-2569,PROD-108,BR-02,online,1,0.1
TXN-000250,2024-05-31,CUST-1233,PROD-111,BR-07,Online ,1,0.0
TXN-000251,2023-09-19,CUST-3106,PROD-103,BR-10,online,1,0.15
TXN-000252,2024-11-22,CUST-1281,PROD-103,BR-12,Online,2,0.0
TXN-000253,2023-01-15,CUST-2612,PROD-111,BR-05,online,2,0.0
TXN-000254,2023-10-17,CUST-2479,PROD-111,BR-12,STORE,1,0.1
TXN-000255,2024-06-20,CUST-0193,PROD-108,BR-09,Store,1,0.15
TXN-000256,2024-08-25,CUST-1483,PROD-104,BR-09,Online,1,0.0
TXN-000257,2024-09-06,CUST-1852,PROD-104,BR-07,Online ,1,0.1
TXN-000258,2024-01-23,CUST-3375,PROD-101,BR-09,Online ,1,0.05
TXN-000259,2024-02-03,CUST-1636,PROD-105,BR-05,Online,1,0.0
TXN-000260,2023-07-22,CUST-2067,PROD-108,BR-02,online,1,0.05
TXN-000261,2024-06-05,CUST-0870,PROD-107,BR-07,online,1,0.1
TXN-000262,2024-01-17,CUST-2301,PROD-110,BR-08,STORE,1,0.15
TXN-000263,2024-05-21,CUST-0931,PROD-111,BR-05,Online,1,0.0
TXN-000264,2023-07-27,CUST-2705,PROD-107,BR-12,Store,1,0.05
TXN-000265,2023-12-28,CUST-2768,PROD-102,BR-10,Online,3,0.15
TXN-000266,2024-02-19,CUST-2780,PROD-110,BR-11,STORE,2,0.1
TXN-000267,2024-02-17,CUST-0298,PROD-109,BR-08,STORE,2,0.0
TXN-000268,2023-06-27,CUST-1921,PROD-101,BR-02,STORE,1,0.0
TXN-000269,2023-05-14,CUST-2643,PROD-110,BR-06,Store,1,0.1
TXN-000270,2023-01-29,CUST-0964,PROD-103,BR-07,Store,1,0.0
TXN-000271,2024-06-24,CUST-0363,PROD-103,BR-02,Online,1,0.15
TXN-000272,2023-02-17,CUST-0045,PROD-104,BR-11,Store,1,0.15
TXN-000273,2023-04-24,CUST-1917,PROD-111,BR-06,Online,2,0.0
TXN-000274,2023-07-17,CUST-3192,PROD-105,BR-05,Online,2,0.1
TXN-000275,2023-06-09,CUST-0820,PROD-106,BR-01,Store,1,0.0
TXN-000276,2023-10-06,CUST-0917,PROD-107,BR-02,STORE,2,0.05
TXN-000277,2023-12-30,CUST-0652,PROD-108,BR-08,Store,1,0.0
TXN-000278,2024-06-19,CUST-2508,PROD-107,BR-06,Online,1,0.1
TXN-000279,2023-06-17,CUST-3484,PROD-104,BR-12,STORE,1,0.0
TXN-000280,2024-08-15,CUST-1143,PROD-103,BR-02,Online ,1,0.0
TXN-000281,2023-09-25,CUST-2964,PROD-102,BR-02,Online,1,0.0
TXN-000282,2023-08-01,CUST-2096,PROD-109,BR-10,STORE,1,0.1
TXN-000283,2023-11-22,CUST-3068,PROD-106,BR-05,online,2,0.15
TXN-000284,2023-03-10,CUST-1687,PROD-109,BR-01,Online,1,0.0
TXN-000285,2024-07-07,CUST-3474,PROD-107,BR-07,online,1,0.05
TXN-000286,2023-03-10,CUST-1633,PROD-108,BR-02,Online ,1,0.05
TXN-000287,2024-04-06,CUST-2871,PROD-110,BR-02,Online ,1,0.0
TXN-000288,2023-05-03,CUST-2372,PROD-104,BR-05,online,1,0.0
TXN-000289,2023-11-12,CUST-3125,PROD-105,BR-07,Store,1,0.1
TXN-000290,2024-09-15,CUST-0770,PROD-111,BR-08,STORE,1,0.05
TXN-000291,2023-10-07,CUST-1254,PROD-106,BR-12,Store,3,0.15
TXN-000292,2023-08-18,CUST-2431,PROD-105,BR-03,online,4,0.1
TXN-000293,2023-08-20,CUST-1207,PROD-102,BR-07,Online,1,0.0
TXN-000294,2024-02-02,CUST-2050,PROD-104,BR-02,Online,1,0.05
TXN-000295,2023-11-06,CUST-1421,PROD-103,BR-06,online,1,0.0
TXN-000296,2024-11-25,CUST-3486,PROD-108,BR-04,online,1,0.0
TXN-000297,2024-02-08,CUST-2139,PROD-105,BR-07,online,1,0.05
TXN-000298,2024-10-22,CUST-1213,PROD-107,BR-11,Online ,1,0.0
TXN-000299,2023-09-12,CUST-1713,PROD-110,BR-01,Store,1,0.0
TXN-000300,2023-08-14,CUST-3166,PROD-104,BR-09,Online ,2,0.1
TXN-000301,2023-03-23,CUST-0269,PROD-106,BR-02,Online ,1,0.05
TXN-000302,2023-06-26,CUST-2703,PROD-105,BR-03,Store,1,0.0
TXN-000303,2023-02-15,CUST-0553,PROD-102,BR-10,Online ,1,0.05
TXN-000304,2023-04-20,CUST-2556,PROD-107,BR-08,online,1,0.0
TXN-000305,2024-06-08,CUST-3144,PROD-103,BR-11,Online ,1,0.0
TXN-000306,2023-10-17,CUST-3439,PROD-106,BR-06,online,1,0.0
TXN-000307,2024-03-31,CUST-2260,PROD-103,BR-01,online,1,0.1
TXN-000308,2023-11-08,CUST-0304,PROD-101,BR-12,Online ,2,0.15
TXN-000309,2024-07-06,CUST-1855,PROD-101,BR-12,Online ,2,0.1
TXN-000310,2024-10-22,CUST-2833,PROD-104,BR-12,STORE,1,0.05
TXN-000311,2024-06-22,CUST-1919,PROD-109,BR-12,STORE,1,0.0
TXN-000312,2023-06-17,CUST-3302,PROD-105,BR-07,STORE,2,0.0
TXN-000313,2023-02-01,CUST-1957,PROD-111,BR-06,online,1,
TXN-000314,2024-10-06,CUST-0636,PROD-107,BR-01,STORE,1,0.0
TXN-000315,2023-02-17,CUST-3219,PROD-103,BR-07,Online,1,0.05
TXN-000316,2023-09-23,CUST-2325,PROD-107,BR-01,Store,1,0.1
TXN-000317,2023-02-03,CUST-2886,PROD-105,BR-01,Online ,1,
TXN-000318,2024-10-07,CUST-3310,PROD-107,BR-10,Online ,2,0.1
TXN-000319,2023-11-21,CUST-2369,PROD-104,BR-02,STORE,1,0.0
TXN-000320,2023-02-07,CUST-2833,PROD-111,BR-07,online,1,0.0
TXN-000321,2024-04-11,CUST-2649,PROD-104,BR-11,online,1,0.0
TXN-000322,2024-01-21,CUST-0574,PROD-103,BR-11,online,2,0.05
TXN-000323,2023-02-03,CUST-3192,PROD-102,BR-01,Online ,1,0.0
TXN-000324,2024-01-13,CUST-0682,PROD-104,BR-09,Store,1,0.0
TXN-000325,2023-05-27,CUST-2699,PROD-106,BR-01,STORE,1,0.1
TXN-000326,2024-10-11,CUST-0983,PROD-104,BR-05,online,1,0.0
TXN-000327,2024-06-29,CUST-0639,PROD-102,BR-05,STORE,1,0.05
TXN-000328,2024-03-12,CUST-2669,PROD-107,BR-12,Store,2,0.05
TXN-000329,2024-07-24,CUST-2344,PROD-106,BR-06,Online,1,0.0
TXN-000330,2023-05-22,CUST-1446,PROD-108,BR-07,online,2,0.0
TXN-000331,2023-10-07,CUST-1836,PROD-102,BR-08,STORE,1,0.05
TXN-000332,2023-11-18,CUST-1891,PROD-102,BR-10,online,1,0.15
TXN-000333,2023-05-28,CUST-1846,PROD-105,BR-04,Store,1,0.0
TXN-000334,2024-02-13,CUST-3097,PROD-108,BR-08,Online,1,0.1
TXN-000335,2023-02-03,CUST-0748,PROD-105,BR-06,STORE,1,0.05
TXN-000336,2024-04-03,CUST-0117,PROD-108,BR-05,online,3,0.05
TXN-000337,2023-01-23,CUST-0497,PROD-108,BR-11,Online,2,0.05
TXN-000338,2023-08-01,CUST-3079,PROD-109,BR-07,Store,1,0.0
